,Hour,P95 Runtime
191,2023-06-16 23:00:00,1806.13
192,2023-06-17 00:00:00,1803.23
193,2023-06-17 01:00:00,1651.67
194,2023-06-17 02:00:00,1641.44
195,2023-06-17 03:00:00,1897.85
196,2023-06-17 04:00:00,1841.74
197,2023-06-17 05:00:00,1739.77
198,2023-06-17 06:00:00,1813.83
199,2023-06-17 07:00:00,2017.71
200,2023-06-17 08:00:00,1559.69
201,2023-06-17 09:00:00,1568.81
202,2023-06-17 10:00:00,1694.77
203,2023-06-17 11:00:00,1973.06
204,2023-06-17 12:00:00,1829.05
205,2023-06-17 13:00:00,2029.93
206,2023-06-17 14:00:00,1954.16
207,2023-06-17 15:00:00,1876.67
208,2023-06-17 16:00:00,1830.34
209,2023-06-17 17:00:00,1740.35
210,2023-06-17 18:00:00,1719.75
211,2023-06-17 19:00:00,1825.19
212,2023-06-17 20:00:00,1814.43
213,2023-06-17 21:00:00,1500.71
214,2023-06-17 22:00:00,1418.72
215,2023-06-17 23:00:00,1473.9
216,2023-06-18 00:00:00,1582.55
217,2023-06-18 01:00:00,1729.29
218,2023-06-18 02:00:00,1764.21
219,2023-06-18 03:00:00,1921.73
220,2023-06-18 04:00:00,2134.84
221,2023-06-18 05:00:00,2015.13
222,2023-06-18 06:00:00,1918.98
223,2023-06-18 07:00:00,1866.38
224,2023-06-18 08:00:00,1388.29
225,2023-06-18 09:00:00,1465.8
226,2023-06-18 10:00:00,1641.48
227,2023-06-18 11:00:00,1896.33
228,2023-06-18 12:00:00,1793.17
229,2023-06-18 13:00:00,1700.02
230,2023-06-18 14:00:00,1593.08
231,2023-06-18 15:00:00,1688.81
232,2023-06-18 16:00:00,1683.72
233,2023-06-18 17:00:00,1537.89
234,2023-06-18 18:00:00,1473.67
235,2023-06-18 19:00:00,1500.56
236,2023-06-18 20:00:00,1436.35
237,2023-06-18 21:00:00,1413.33
238,2023-06-18 22:00:00,1584.06
239,2023-06-18 23:00:00,1603.08
240,2023-06-19 00:00:00,1793.81
241,2023-06-19 01:00:00,1563.27
242,2023-06-19 02:00:00,1603.86
243,2023-06-19 03:00:00,1796.39
244,2023-06-19 04:00:00,1979.62
245,2023-06-19 05:00:00,1863.36
246,2023-06-19 06:00:00,1780.15
247,2023-06-19 07:00:00,1918.55
248,2023-06-19 08:00:00,1609.05
249,2023-06-19 09:00:00,1705.55
250,2023-06-19 10:00:00,2070.3
251,2023-06-19 11:00:00,2228.5
252,2023-06-19 12:00:00,2156.59
253,2023-06-19 13:00:00,2191.0
254,2023-06-19 14:00:00,2189.11
255,2023-06-19 15:00:00,2128.38
256,2023-06-19 16:00:00,2111.43
257,2023-06-19 17:00:00,1951.38
258,2023-06-19 18:00:00,2053.23
259,2023-06-19 19:00:00,2016.13
260,2023-06-19 20:00:00,1952.78
261,2023-06-19 21:00:00,1727.73
262,2023-06-19 22:00:00,1645.57
263,2023-06-19 23:00:00,1750.91
264,2023-06-20 00:00:00,1885.05
265,2023-06-20 01:00:00,2019.15
266,2023-06-20 02:00:00,2040.33
267,2023-06-20 03:00:00,2126.75
268,2023-06-20 04:00:00,2452.31
269,2023-06-20 05:00:00,2258.54
270,2023-06-20 06:00:00,1959.26
271,2023-06-20 07:00:00,1989.97
272,2023-06-20 08:00:00,1935.88
273,2023-06-20 09:00:00,1747.58
274,2023-06-20 10:00:00,2316.89
275,2023-06-20 11:00:00,2327.41
276,2023-06-20 12:00:00,2331.9
